stroke_number,interval,async_ms,spm,speed_m_s,v_rel,empirical_speed_loss_pct,theory_k048_pct,theory_k093_pct
26,11. 2026-02-14 07:40,48.7,30.5,2.27,0.9900311526479754,-0.9968847352024635,-0.7419519790335263,-1.4496839506483155
27,11. 2026-02-14 07:40,61.9,29.7,2.11,0.9202492211838008,-7.975077881619919,-0.9183201109601142,-1.7942858352512085
28,11. 2026-02-14 07:40,132.6,31.1,2.29,0.9987538940809972,-0.12461059190027601,-2.0599226365888157,-4.024838359121125
29,11. 2026-02-14 07:40,59.0,31.0,2.12,0.9246105919003118,-7.538940809968819,-0.9136097011831013,-1.7850822673011537
30,11. 2026-02-14 07:40,33.5,30.4,2.79,1.2168224299065424,21.682242990654245,-0.5087042753881195,-0.9939462990811894
31,11. 2026-02-14 07:40,108.8,29.6,2.23,0.9725856697819316,-2.7414330218068383,-1.6086723731362242,-3.1431502133395406
32,11. 2026-02-14 07:40,135.8,31.5,2.24,0.9769470404984428,-2.305295950155717,-2.136767752187508,-4.174984371150436
47,11. 2026-02-14 07:40,237.2,24.4,2.48,0.7951741753165589,-20.482582468344113,-2.8910227421232424,-5.648706909138076
48,11. 2026-02-14 07:40,147.2,24.6,2.7,0.8657138199010924,-13.428618009890759,-1.8087973543729647,-3.5341700928209714
49,11. 2026-02-14 07:40,256.4,25.1,3.0,0.961904244334547,-3.809575566545298,-3.21468733587863,-6.281108169892838
50,11. 2026-02-14 07:40,106.2,24.0,2.68,0.8593011249388621,-14.069887506113787,-1.2731593255196767,-2.487598514432576
51,11. 2026-02-14 07:40,190.5,25.3,2.88,0.9234280745611652,-7.657192543883484,-2.4074789482269736,-4.703921131546205
52,11. 2026-02-14 07:40,149.3,25.3,2.86,0.9170153795989348,-8.298462040106525,-1.8868063358020326,-3.686590157164559
53,11. 2026-02-14 07:40,123.7,25.1,2.85,0.9138090321178196,-8.61909678821804,-1.5509236483938635,-3.0303162270504838
54,11. 2026-02-14 07:40,87.1,24.5,3.18,1.01961849899462,1.9618498994619982,-1.0659362612573422,-2.082709843798413
55,11. 2026-02-14 07:40,75.3,25.1,2.79,0.8945709472311287,-10.542905276887126,-0.9440949937272264,-1.8446468221253145
56,11. 2026-02-14 07:40,112.1,26.3,3.0,0.961904244334547,-3.809575566545298,-1.4726798957457927,-2.87743744829157
57,11. 2026-02-14 07:40,306.4,23.8,2.94,0.942666159447856,-5.733384055214397,-3.6426103314005207,-7.117217670577118
58,11. 2026-02-14 07:40,230.8,23.3,2.93,0.939459811966741,-6.0540188033259,-2.6862023365064482,-5.248512741350125
59,11. 2026-02-14 07:40,41.5,26.2,2.93,0.939459811966741,-6.0540188033259,-0.5431207370674609,-1.0611918803917688
60,11. 2026-02-14 07:40,103.0,24.2,2.99,0.958697896853432,-4.130210314656802,-1.245086681885729,-2.4327479822169797
61,11. 2026-02-14 07:40,117.5,24.5,3.2,1.0260311939568505,2.6031193956850496,-1.437973716391937,-2.8096257938727156
62,11. 2026-02-14 07:40,156.4,24.9,2.9,0.9298407695233954,-7.015923047660455,-1.9452843498629975,-3.8008490861054796
63,11. 2026-02-14 07:40,107.9,25.3,2.84,0.9106026846367044,-8.939731536329564,-1.363606186423572,-2.664320682907273
64,11. 2026-02-14 07:40,60.7,23.8,2.97,0.9522852018912016,-4.771479810879842,-0.7216267856266699,-1.409970994138483
65,11. 2026-02-14 07:40,150.4,25.3,3.0,0.961904244334547,-3.809575566545298,-1.9007077890463877,-3.713751906480574
66,11. 2026-02-14 07:40,95.4,24.6,3.18,1.01961849899462,1.9618498994619982,-1.172277633200957,-2.290487954178809
67,11. 2026-02-14 07:40,74.2,24.5,3.11,0.9971740666268136,-0.28259333731863734,-0.9080651043087806,-1.7742487991945148
68,11. 2026-02-14 07:40,58.8,25.1,3.2,1.0260311939568505,2.6031193956850496,-0.7372215887272366,-1.4404413431735525
69,11. 2026-02-14 07:40,62.3,24.9,2.72,0.8721265148633227,-12.787348513667729,-0.7748798912817438,-1.5140210873681033
70,11. 2026-02-14 07:40,89.5,24.5,2.95,0.9458725069289712,-5.412749307102882,-1.095307639294284,-2.1400979451200683
71,11. 2026-02-14 07:40,67.1,23.1,2.99,0.958697896853432,-4.130210314656802,-0.7742505046095236,-1.512791342339782
72,11. 2026-02-14 07:40,168.2,23.6,2.63,0.8432693875332862,-15.673061246671383,-1.9828277643741634,-3.874204353032957
73,11. 2026-02-14 07:40,119.6,23.8,2.95,0.9458725069289712,-5.412749307102882,-1.4218544243978535,-2.778130657314045
74,11. 2026-02-14 07:40,125.2,24.4,3.02,0.9683169392967772,-3.16830607032228,-1.5259529819301434,-2.981526581045899
75,11. 2026-02-14 07:40,103.4,23.9,3.2,1.0260311939568505,2.6031193956850496,-1.2344270695165396,-2.4119203957849367
76,11. 2026-02-14 07:40,52.8,24.0,3.22,1.0324438889190806,3.2443888919080566,-0.6329831674900087,-1.2367721427687384
77,11. 2026-02-14 07:40,107.0,24.7,2.96,0.9490788544100864,-5.092114558991357,-1.3201635206434217,-2.579438996309579
78,11. 2026-02-14 07:40,69.2,23.2,3.2,1.0260311939568505,2.6031193956850496,-0.8019385230548922,-1.566890363704737
79,11. 2026-02-14 07:40,51.8,24.0,3.14,1.0067931090701592,0.6793109070159176,-0.6209948499239102,-1.213348427943573
80,11. 2026-02-14 07:40,98.0,24.2,3.06,0.981142329221238,-1.8857670778761992,-1.1846455808233152,-2.3146534199734377
81,11. 2026-02-14 07:40,117.2,24.5,3.36,1.0773327536546926,7.733275365469261,-1.4343022941373194,-2.8024522812075086
82,11. 2026-02-14 07:40,96.3,24.2,2.95,0.9458725069289712,-5.412749307102882,-1.1640956064620942,-2.2745012688106327
83,11. 2026-02-14 07:40,76.2,24.4,3.23,1.0356502364001956,3.56502364001956,-0.9287349618456623,-1.814635187505571
84,11. 2026-02-14 07:40,75.8,24.3,3.41,1.0933644910602685,9.336449106026844,-0.9200734024041562,-1.7977115535443893
85,11. 2026-02-14 07:40,108.7,25.7,3.48,1.1158089234280746,11.58089234280746,-1.3954351695615639,-2.726510645768087
86,11. 2026-02-14 07:40,67.2,25.2,3.26,1.0452692788435411,4.526927884354115,-0.8458956874639209,-1.6527773180636776
87,11. 2026-02-14 07:40,78.9,24.7,3.15,1.0099994565512744,0.9999456551274433,-0.9734663717641682,-1.9020349234469702
88,11. 2026-02-14 07:40,94.6,26.3,3.36,1.0773327536546926,7.733275365469261,-1.242778930754255,-2.4282389171131356
89,11. 2026-02-14 07:40,78.8,24.2,3.35,1.0741264061735776,7.4126406173577575,-0.9525517527436451,-1.8611703009582332
90,11. 2026-02-14 07:40,153.0,25.5,3.49,1.1190152709091898,11.901527090918984,-1.948850874338912,-3.807817641265966
91,11. 2026-02-14 07:40,33.7,25.2,3.52,1.1286343133525352,12.863431335253516,-0.4242066170764007,-0.828848149088481
92,11. 2026-02-14 07:40,85.5,25.5,3.5,1.1222216183903049,12.222161839030488,-1.0890637238952745,-2.1278980936486285
93,11. 2026-02-14 07:40,111.4,26.3,3.34,1.0709200586924623,7.092005869246232,-1.4634838571461313,-2.859469507044433
94,11. 2026-02-14 07:40,84.3,24.7,3.36,1.0773327536546926,7.733275365469261,-1.0400914466377613,-2.0322122185878273
95,11. 2026-02-14 07:40,124.4,26.6,3.08,0.9875550241834684,-1.244497581653159,-1.6529092649551282,-3.229583721044402
96,11. 2026-02-14 07:40,44.4,23.8,3.28,1.0516819738057714,5.168197380577144,-0.5278456224353235,-1.031346163752037
97,11. 2026-02-14 07:40,160.8,25.0,3.09,0.9907613716645834,-0.9238628335416554,-2.008043192321524,-3.9234722332152216
98,11. 2026-02-14 07:40,105.4,25.0,3.2,1.0260311939568505,2.6031193956850496,-1.3162173661112477,-2.5717286901796292
99,11. 2026-02-14 07:40,126.6,25.8,3.29,1.0548883212868867,5.48883212868867,-1.631550079158196,-3.187850469130899
100,11. 2026-02-14 07:40,104.8,25.3,3.55,1.1382533557958807,13.82533557958807,-1.3244293636440252,-2.587773934834867
101,11. 2026-02-14 07:40,78.1,24.0,3.14,1.0067931090701592,0.6793109070159176,-0.9362876019123044,-1.8293921278454255
102,11. 2026-02-14 07:40,138.5,25.5,3.22,1.0324438889190806,3.2443888919080566,-1.7641558568362046,-3.44694603474076
103,11. 2026-02-14 07:40,107.8,23.3,3.41,1.0933644910602685,9.336449106026844,-1.2546473651446928,-2.45142839479005
104,11. 2026-02-14 07:40,167.4,25.5,3.48,1.1158089234280746,11.58089234280746,-2.132272133100221,-4.166200478090998
105,11. 2026-02-14 07:40,77.3,23.5,3.86,1.2376501277104506,23.765012771045058,-0.9073907614456876,-1.7729312152355996
125,11. 2026-02-14 07:40,174.5,24.8,2.99,0.9532138549026364,-4.678614509736356,-2.161693462460355,-4.223686178224425
126,11. 2026-02-14 07:40,132.1,24.4,3.41,1.087110115457522,8.7110115457522,-1.610051029656325,-3.145843940544434
127,11. 2026-02-14 07:40,206.1,26.6,3.74,1.1923143201792177,19.23143201792177,-2.7384614108299994,-5.350620618225492
130,11. 2026-02-14 07:40,212.2,24.0,2.97,0.946837842495261,-5.316215750473896,-2.5439209875261337,-4.970512285900119
131,11. 2026-02-14 07:40,141.1,24.6,3.84,1.224194382216095,22.4194382216095,-1.733840398790933,-3.387713315876624
132,11. 2026-02-14 07:40,113.3,24.7,3.21,1.023349991383767,2.334999138376692,-1.3978927746626137,-2.7313125073072455
133,11. 2026-02-14 07:40,120.4,25.2,3.07,0.9787179045321384,-2.128209546786164,-1.5155631067061912,-2.961226028197422
134,11. 2026-02-14 07:40,88.5,25.4,3.5,1.1158021712907116,11.580217129071158,-1.1228557940347148,-2.193923689812063
135,11. 2026-02-14 07:40,86.4,25.5,2.97,0.946837842495261,-5.316215750473896,-1.1005275525678562,-2.150297020950193
136,11. 2026-02-14 07:40,109.7,25.1,2.94,0.9372738238841978,-6.272617611580222,-1.3753946986969026,-2.687354002485353
137,11. 2026-02-14 07:40,123.0,26.0,3.13,0.997845941754265,-0.21540582457350022,-1.5974433156826455,-3.1212100004533028
138,11. 2026-02-14 07:40,55.6,25.0,2.88,0.9181457866620713,-8.185421333792874,-0.6943233923698803,-1.3566234836241686
139,11. 2026-02-14 07:40,145.2,26.0,3.26,1.0392900224022057,3.9290022402205693,-1.8857623531473178,-3.6845503419985333
140,11. 2026-02-14 07:40,65.9,25.6,3.17,1.010597966569016,1.0597966569015904,-0.8426988027796277,-1.6465309941103001
141,11. 2026-02-14 07:40,110.0,26.1,2.98,0.9500258486989488,-4.997415130105121,-1.434102488844551,-2.802061885960423
142,11. 2026-02-14 07:40,85.4,24.8,4.07,1.2975185249009134,29.751852490091334,-1.0579290641496522,-2.067064754271438
143,11. 2026-02-14 07:40,122.5,25.9,2.89,0.9213337928657592,-7.866620713424077,-1.5848306065766455,-3.0965663004809927
144,11. 2026-02-14 07:40,57.1,24.6,3.24,1.0329140099948302,3.2914009994830185,-0.7016462563498389,-1.370931469429874
145,11. 2026-02-14 07:40,139.4,25.3,3.22,1.026537997587455,2.65379975874549,-1.7616932566028354,-3.4421344133204244
146,11. 2026-02-14 07:40,203.6,25.3,3.04,0.9691538859210752,-3.084611407892479,-2.573032618682477,-5.027392873400563
147,11. 2026-02-14 07:40,164.9,25.6,3.11,0.9914699293468896,-0.85300706531104,-2.1086651377596453,-4.120075279647777
148,11. 2026-02-14 07:40,174.9,24.5,2.98,0.9500258486989488,-4.997415130105121,-2.1404391744421254,-4.182157883815642
149,11. 2026-02-14 07:40,163.2,25.8,2.8,0.8926417370325692,-10.735826296743078,-2.103230433796347,-4.109456528927035
150,11. 2026-02-14 07:40,81.5,26.2,3.03,0.9659658797173876,-3.4034120282612434,-1.0666106041204353,-2.084027427757329
151,11. 2026-02-14 07:40,59.9,24.8,2.76,0.8798897122178183,-12.011028778218169,-0.7420368962829528,-1.4498498686283272
152,11. 2026-02-14 07:40,104.6,25.1,2.89,0.9213337928657592,-7.866620713424077,-1.3114520098787235,-2.5624177635366254
153,11. 2026-02-14 07:40,191.6,26.7,3.25,1.036102016198518,3.610201619851794,-2.5553698308017574,-4.992881933558151
154,11. 2026-02-14 07:40,116.9,25.1,2.96,0.9436498362915732,-5.635016370842683,-1.4656667299696253,-2.8637345751188485
155,11. 2026-02-14 07:40,108.6,26.1,2.95,0.9404618300878856,-5.953816991211436,-1.4158502753501656,-2.766399280139108
156,11. 2026-02-14 07:40,100.8,25.6,3.21,1.023349991383767,2.334999138376692,-1.288983904706927,-2.5185178180017944
157,11. 2026-02-14 07:40,236.0,25.6,3.2,1.0201619851800792,2.0161985180079167,-3.0178591419725667,-5.8965298119883265
158,11. 2026-02-14 07:40,166.6,26.2,3.14,1.0010339479579529,0.10339479579528632,-2.180335296275638,-4.260110054777557
159,11. 2026-02-14 07:40,138.1,26.5,3.29,1.048854041013269,4.885404101326896,-1.8280435991988722,-3.5717749149965385
160,11. 2026-02-14 07:40,92.5,25.3,3.1,0.9882819231432016,-1.1718076856798376,-1.1689858410025988,-2.284056192483065
161,11. 2026-02-14 07:40,196.6,26.7,2.87,0.9149577804583836,-8.50422195416164,-2.622054847263181,-5.123176347273134
162,11. 2026-02-14 07:40,72.9,27.0,3.09,0.985093916939514,-1.490608306048602,-0.9831918943896657,-1.9210374120988856
163,11. 2026-02-14 07:40,90.8,25.0,2.91,0.9277098052731346,-7.229019472686538,-1.1338950364601639,-2.21549302721357
164,11. 2026-02-14 07:40,396.6,27.9,2.95,0.9966216216216216,-0.33783783783783994,-5.527183843055867,-10.79944516085549
165,11. 2026-02-14 07:40,168.6,27.1,2.92,0.9864864864864864,-1.3513513513513598,-2.2823059274399458,-4.459348269127944
166,11. 2026-02-14 07:40,129.1,26.8,2.69,0.9087837837837838,-9.121621621621623,-1.7282558408580586,-3.376801768720567
167,11. 2026-02-14 07:40,93.6,27.8,3.12,1.0540540540540542,5.405405405405417,-1.2997733905164153,-2.5395991613444426
168,11. 2026-02-14 07:40,38.5,28.2,3.12,1.0540540540540542,5.405405405405417,-0.5423215158963877,-1.0596302994034241
185,11. 2026-02-14 07:40,158.4,26.1,2.98,0.9929713125423024,-0.702868745769758,-2.0651075839361535,-4.034969115783009
186,11. 2026-02-14 07:40,106.8,25.4,2.69,0.8963398760868434,-10.36601239131566,-1.3550395344961301,-2.6475824866884556
187,11. 2026-02-14 07:40,111.8,24.9,2.72,0.9063362315822358,-9.366376841776425,-1.3905549252856977,-2.716975241858009
188,11. 2026-02-14 07:40,121.7,26.7,2.95,0.98297495704691,-1.7025042953090042,-1.6231133006710536,-3.171366029822688
189,11. 2026-02-14 07:40,17.6,26.5,2.96,0.986307075545374,-1.3692924454625999,-0.23297297136785047,-0.455200858102383
190,11. 2026-02-14 07:40,57.3,25.8,3.16,1.0529494455146562,5.294944551465619,-0.7384503912777617,-1.442842273943132
191,11. 2026-02-14 07:40,32.5,25.9,3.14,1.046285208517728,4.6285208517728105,-0.4204652629693141,-0.8215379980867941
192,11. 2026-02-14 07:40,78.6,27.0,2.74,0.913000468579164,-8.699953142083604,-1.060066980782273,-2.071241983415259
193,11. 2026-02-14 07:40,15.7,26.2,3.16,1.0529494455146562,5.294944551465619,-0.20546977281829243,-0.4014629523409823
194,11. 2026-02-14 07:40,50.5,25.9,3.33,1.1095954599885458,10.95954599885458,-0.6533383316907804,-1.2765436585656338
195,11. 2026-02-14 07:40,62.4,25.9,2.98,0.9929713125423024,-0.702868745769758,-0.807293304901083,-1.5773529563266446
196,11. 2026-02-14 07:40,122.9,26.4,3.13,1.0429530900192638,4.295309001926384,-1.6207006517608769,-3.166652007214124
197,11. 2026-02-14 07:40,98.8,26.9,3.48,1.1595772374655071,15.957723746550712,-1.3275663067404875,-2.593903140214118
198,11. 2026-02-14 07:40,66.9,26.8,3.12,1.0396209715207998,3.9620971520799797,-0.8955872637753998,-1.7498686160139887
199,11. 2026-02-14 07:40,51.4,26.3,2.83,0.9429895350653408,-5.701046493465922,-0.675251977175145,-1.319360257289801
200,11. 2026-02-14 07:40,63.0,25.6,3.07,1.0229603790284791,2.296037902847914,-0.8056149404418292,-1.5740736362511214
201,11. 2026-02-14 07:40,147.7,25.6,3.08,1.0262924975269434,2.6292497526943404,-1.8887194714802886,-3.690328191655407
202,11. 2026-02-14 07:40,67.4,25.7,2.84,0.9463216535638048,-5.367834643619518,-0.8652468300685316,-1.6905870977439656
203,11. 2026-02-14 07:40,37.6,26.9,2.82,0.9396574165668766,-6.034258343312338,-0.5052276632939507,-0.9871534217818911
206,11. 2026-02-14 07:40,59.3,25.4,2.8,0.9329931795699484,-6.700682043005157,-0.7523768201837128,-1.470052822665032
207,11. 2026-02-14 07:40,48.1,25.7,2.75,0.916332587077628,-8.3667412922372,-0.617483271903507,-1.2064872314760349
208,11. 2026-02-14 07:40,75.1,25.6,3.43,1.142916644973187,14.29166449731869,-0.9603441591616092,-1.876395715594591
209,11. 2026-02-14 07:40,89.2,26.5,2.84,0.9463216535638048,-5.367834643619518,-1.180749377614333,-2.3070407126552586
210,11. 2026-02-14 07:40,67.7,25.4,2.88,0.9596501275576612,-4.034987244233879,-0.8589529633463298,-1.6782896474607532
211,11. 2026-02-14 07:40,133.2,26.4,2.99,0.9963034310407664,-0.3696568959233648,-1.7565282897847738,-3.4320426961832484
212,11. 2026-02-14 07:40,90.3,25.9,3.02,1.0062997865361587,0.6299786536158702,-1.1682465614193556,-2.2826117300688455
213,11. 2026-02-14 07:40,108.1,26.7,2.99,0.9963034310407664,-0.3696568959233648,-1.441730055895981,-2.8169652245179333
214,11. 2026-02-14 07:40,59.0,26.1,3.04,1.012964023533087,1.296402353308701,-0.7692004258348046,-1.5029241024696813
215,11. 2026-02-14 07:40,66.5,25.5,3.18,1.0596136825115845,5.96136825115845,-0.8470495630296577,-1.6550318506155997
216,11. 2026-02-14 07:40,102.6,26.4,3.05,1.016296142031551,1.6296142031551053,-1.3530015205098935,-2.643600455168178
217,11. 2026-02-14 07:40,74.8,26.8,2.82,0.9396574165668766,-6.034258343312338,-1.0013442052376667,-1.9565048202966568
218,11. 2026-02-14 07:40,96.3,26.1,3.21,1.0696100380069766,6.961003800697663,-1.2554915425066389,-2.4530778147089887
219,11. 2026-02-14 07:40,107.6,26.2,3.2,1.0662779195085126,6.627791950851258,-1.408187742372501,-2.7514276224133565
220,11. 2026-02-14 07:40,150.8,26.7,3.09,1.0296246160254074,2.9624616025407446,-2.01122009647654,-3.92967951764389
223,11. 2026-02-14 07:40,63.8,25.6,2.93,0.976310720049982,-2.3689279950018016,-0.8158449714315668,-1.5940618729019294
224,11. 2026-02-14 07:40,77.6,26.0,3.11,1.0362888530223355,3.628885302233553,-1.0078178967233598,-1.969153626302246
226,11. 2026-02-14 07:40,71.9,26.9,2.9,0.9663143645545896,-3.3685635445410367,-0.9661135369902941,-1.8876683783542019
227,11. 2026-02-14 07:40,14.0,25.2,2.66,0.8863435205914512,-11.365647940854885,-0.17622826822165016,-0.3443286079299328
228,11. 2026-02-14 07:40,60.7,26.5,3.15,1.049617327016192,4.9617327016191926,-0.8034920092061661,-1.569925686750832
229,11. 2026-02-14 07:40,32.3,26.0,2.98,0.9929713125423024,-0.702868745769758,-0.4194912121670686,-0.8196348212572493
230,11. 2026-02-14 07:40,96.8,26.0,2.85,0.949653772062269,-5.034622793773103,-1.257174902098212,-2.4563668946656887
231,11. 2026-02-14 07:40,54.1,26.0,2.75,0.916332587077628,-8.3667412922372,-0.7026153120197651,-1.3728248863782413
232,11. 2026-02-14 07:40,112.5,25.5,2.86,0.952985890560733,-4.701410943926698,-1.4329785840727294,-2.7998659126955636
233,11. 2026-02-14 07:40,119.9,26.8,2.74,0.913000468579164,-8.699953142083604,-1.605095858395672,-3.136162138416701
234,11. 2026-02-14 07:40,129.4,25.7,2.94,0.979642838548446,-2.0357161451553973,-1.6611712138110981,-3.245726564511412
235,11. 2026-02-14 07:40,86.7,25.8,2.85,0.949653772062269,-5.034622793773103,-1.1173411679543095,-2.183148780992487
236,11. 2026-02-14 07:40,125.5,27.1,3.1,1.0329567345238715,3.295673452387149,-1.6988694774241586,-3.3193843877553793
237,11. 2026-02-14 07:40,94.6,27.2,3.02,1.0062997865361587,0.6299786536158702,-1.28530748731999,-2.5113345454554103
238,11. 2026-02-14 07:40,111.0,26.3,2.99,0.9963034310407664,-0.3696568959233648,-1.4582289779463247,-2.8492021120460684
239,11. 2026-02-14 07:40,88.4,26.7,2.76,0.919664705576092,-8.033529442390797,-1.178991091037972,-2.303605234480901
240,11. 2026-02-14 07:40,74.1,26.7,2.87,0.9563180090591972,-4.368199094080283,-0.9882719439582999,-1.9309632112560493
241,11. 2026-02-14 07:40,7.3,25.3,2.83,0.9429895350653408,-5.701046493465922,-0.09225509880344833,-0.1802552454608257
249,11. 2026-02-14 07:40,104.2,24.8,2.68,0.8930077575883794,-10.699224241162064,-1.2908221134003952,-2.5221094542749865
250,11. 2026-02-14 07:40,204.4,26.0,3.07,1.0229603790284791,2.296037902847914,-2.654613119719778,-5.186791252785814
251,11. 2026-02-14 07:40,96.8,25.9,2.99,0.9963034310407664,-0.3696568959233648,-1.2523396140132184,-2.446919329686205
256,11. 2026-02-14 07:40,98.5,27.5,2.97,0.9896391940438384,-1.0360805956161623,-1.3530564669654053,-2.6437078138611274
257,11. 2026-02-14 07:40,139.9,24.6,3.08,1.0262924975269434,2.6292497526943404,-1.7190947681846318,-3.35890214664167
258,11. 2026-02-14 07:40,96.5,25.9,2.89,0.9629822460561256,-3.701775394387441,-1.2484583962011941,-2.4393359020115577
264,11. 2026-02-14 07:40,183.0,26.1,3.29,1.0962669859946894,9.626698599468941,-2.385825049623208,-4.661612046643249
265,11. 2026-02-14 07:40,88.9,25.5,3.49,1.1629093559639716,16.290935596397162,-1.1323715211028058,-2.212516263454539
266,11. 2026-02-14 07:40,175.9,26.9,3.22,1.072942156505441,7.294215650544089,-2.36355175461186,-4.618092736474326
267,11. 2026-02-14 07:40,74.6,25.9,3.15,1.049617327016192,4.9617327016191926,-0.9651294959234101,-1.8857456817623026
268,11. 2026-02-14 07:40,119.1,26.6,2.94,0.979642838548446,-2.0357161451553973,-1.5824878895189372,-3.0919889162089085
269,11. 2026-02-14 07:40,181.2,26.7,3.54,1.179569948456292,17.956994845629204,-2.416664996561996,-4.721869553030986
